,driverId,driver_name,total_wins,final_position
167,1,Lewis Hamilton,10,7.0
168,839,Esteban Ocon,10,7.0
169,8,Kimi Räikkönen,9,7.0
170,13,Felipe Massa,9,7.0
171,832,Carlos Sainz,9,7.0
172,844,Charles Leclerc,8,7.0
173,842,Pierre Gasly,7,7.0
174,840,Lance Stroll,6,7.0
175,3,Nico Rosberg,5,7.0
176,30,Michael Schumacher,5,7.0
177,822,Valtteri Bottas,5,7.0
178,847,George Russell,5,7.0
179,814,Paul di Resta,4,7.0
180,825,Kevin Magnussen,4,7.0
181,826,Daniil Kvyat,4,7.0
182,830,Max Verstappen,4,7.0
183,852,Yuki Tsunoda,4,7.0
184,16,Adrian Sutil,3,7.0
185,17,Mark Webber,3,7.0
186,20,Sebastian Vettel,3,7.0
187,848,Alexander Albon,3,7.0
188,18,Jenson Button,2,7.0
189,155,Kamui Kobayashi,2,7.0
190,811,Bruno Senna,2,7.0
191,813,Pastor Maldonado,2,7.0
192,857,Oscar Piastri,2,7.0
193,2,Nick Heidfeld,1,7.0
194,153,Jaime Alguersuari,1,7.0
195,821,Esteban Gutiérrez,1,7.0
196,838,Stoffel Vandoorne,1,7.0
197,849,Nicholas Latifi,1,7.0
198,860,Oliver Bearman,1,7.0
199,807,Nico Hülkenberg,15,8.0
200,815,Sergio Pérez,14,8.0
201,822,Valtteri Bottas,13,8.0
202,832,Carlos Sainz,13,8.0
203,839,Esteban Ocon,12,8.0
204,4,Fernando Alonso,9,8.0
205,846,Lando Norris,9,8.0
206,13,Felipe Massa,8,8.0
207,1,Lewis Hamilton,7,8.0
208,817,Daniel Ricciardo,7,8.0
209,818,Jean-Éric Vergne,7,8.0
210,842,Pierre Gasly,7,8.0
211,8,Kimi Räikkönen,6,8.0
212,18,Jenson Button,6,8.0
213,20,Sebastian Vettel,6,8.0
214,154,Romain Grosjean,6,8.0
215,825,Kevin Magnussen,5,8.0
216,830,Max Verstappen,5,8.0
217,840,Lance Stroll,5,8.0
218,847,George Russell,5,8.0
219,857,Oscar Piastri,5,8.0
220,813,Pastor Maldonado,4,8.0
221,814,Paul di Resta,4,8.0
222,848,Alexander Albon,4,8.0
223,3,Nico Rosberg,3,8.0
224,844,Charles Leclerc,3,8.0
225,852,Yuki Tsunoda,3,8.0
226,17,Mark Webber,2,8.0
227,2,Nick Heidfeld,1,8.0
228,16,Adrian Sutil,1,8.0
229,30,Michael Schumacher,1,8.0
230,153,Jaime Alguersuari,1,8.0
231,808,Vitaly Petrov,1,8.0
232,811,Bruno Senna,1,8.0
233,826,Daniil Kvyat,1,8.0
234,831,Felipe Nasr,1,8.0
235,854,Mick Schumacher,1,8.0
236,855,Guanyu Zhou,1,8.0
237,4,Fernando Alonso,11,9.0
238,817,Daniel Ricciardo,11,9.0
239,807,Nico Hülkenberg,10,9.0
240,839,Esteban Ocon,10,9.0
241,842,Pierre Gasly,10,9.0
242,815,Sergio Pérez,9,9.0
243,840,Lance Stroll,9,9.0
244,1,Lewis Hamilton,8,9.0
245,13,Felipe Massa,8,9.0
246,825,Kevin Magnussen,8,9.0
247,826,Daniil Kvyat,7,9.0
248,8,Kimi Räikkönen,6,9.0
249,18,Jenson Button,6,9.0
250,154,Romain Grosjean,6,9.0
251,814,Paul di Resta,4,9.0
252,830,Max Verstappen,4,9.0
253,832,Carlos Sainz,4,9.0
254,848,Alexander Albon,4,9.0
255,3,Nico Rosberg,3,9.0
256,20,Sebastian Vettel,3,9.0
257,155,Kamui Kobayashi,3,9.0
258,808,Vitaly Petrov,3,9.0
259,831,Felipe Nasr,3,9.0
