,qualifying_position,diff_qual_final,num_pit_stops,driver_points,lap_time,stop_duration,constructor_points,starting_grid_position,final_position
103,10,1.0,1,34.0,125844,21395,68.0,10,9.0
104,16,6.0,1,1.0,131701,21421,5.0,21,10.0
105,18,7.0,1,8.0,127763,21334,32.0,17,11.0
106,12,0.0,1,27.0,125298,24161,35.0,12,12.0
107,7,-6.0,1,0.0,150814,30795,68.0,7,13.0
108,1,0.0,1,284.0,120073,22124,451.0,1,1.0
109,3,1.0,1,167.0,122823,21660,325.0,3,2.0
110,4,1.0,1,172.0,119584,22539,254.0,4,3.0
111,2,-2.0,1,158.0,120534,22083,325.0,2,4.0
112,8,3.0,1,52.0,121354,22709,108.0,8,5.0
113,6,0.0,1,82.0,122345,21821,254.0,6,6.0
114,1,0.0,1,309.0,116910,30023,491.0,1,1.0
115,3,1.0,1,185.0,119507,30169,353.0,3,2.0
116,2,-1.0,1,182.0,121853,30462,491.0,2,3.0
117,5,1.0,1,184.0,120421,30621,268.0,5,4.0
118,4,-1.0,1,168.0,124841,30142,353.0,4,5.0
119,10,4.0,1,20.0,127636,30704,48.0,10,6.0
120,2,1.0,1,210.0,102700,21094,388.0,2,1.0
121,5,3.0,1,202.0,104201,21147,292.0,5,2.0
122,1,-2.0,1,324.0,100257,22374,518.0,1,3.0
123,6,2.0,1,194.0,104792,21820,518.0,6,4.0
124,3,-2.0,1,178.0,101597,21091,388.0,3,5.0
125,7,1.0,1,60.0,105323,20667,123.0,8,6.0
126,4,-3.0,1,90.0,103669,21313,292.0,4,7.0
127,17,9.0,1,13.0,112362,21655,40.0,17,8.0
128,9,0.0,1,36.0,108306,21304,72.0,10,9.0
129,23,13.0,1,63.0,114517,20575,123.0,23,10.0
130,11,0.0,1,28.0,107614,21511,48.0,11,11.0
131,12,0.0,1,20.0,106673,21964,48.0,12,12.0
132,10,-3.0,1,27.0,109176,24263,40.0,7,13.0
133,14,0.0,1,1.0,110956,21339,5.0,14,14.0
134,16,1.0,1,16.0,112985,21792,29.0,16,15.0
135,8,-8.0,1,2.0,110053,25927,72.0,9,16.0
136,13,-4.0,1,4.0,111148,22130,5.0,13,17.0
137,18,0.0,1,0.0,110690,21412,0.0,18,18.0
138,19,0.0,1,0.0,112466,21636,0.0,19,19.0
139,2,1.0,1,349.0,107844,19985,558.0,2,1.0
140,1,-1.0,1,196.0,108919,20846,418.0,1,2.0
